date,high,low,open,close,volume,quoteVolume,weightedAverage
1641456000000,1.22472,1.21595,1.22200,1.21824,2848.8394,3475.6341,1.22001
1641457800000,1.21528,1.21000,1.21528,1.21250,96.4451,116.8066,1.21112
1641459600000,1.21250,1.20659,1.21250,1.20659,565.0995,682.4065,1.20758
1641461400000,1.20163,1.20000,1.20000,1.20163,993.5121,1192.2257,1.20001
1641463200000,1.21000,1.20400,1.21000,1.20400,109.9603,133.0221,1.20972
1641465000000,1.21217,1.21217,1.21217,1.21217,122.182,148.1055,1.21217
1641466800000,1.21474,1.21474,1.21474,1.21474,349.0327,423.9867,1.21474
1641468600000,1.20976,1.20000,1.20000,1.20976,324.9791,391.6574,1.20517
1641470400000,1.20500,1.20292,1.20500,1.20292,993.915,1197.1173,1.20444
1641472200000,1.20740,1.20618,1.20740,1.20740,1093.0625,1319.3269,1.207
1641474000000,1.22267,1.21500,1.21864,1.21500,4402.4219,5369.3114,1.21962
1641475800000,1.23610,1.21400,1.21795,1.23610,1177.6362,1453.1947,1.23399
1641477600000,1.23200,1.22795,1.23000,1.23066,2959.5767,3640.6244,1.23011
1641479400000,1.25045,1.23314,1.24399,1.23314,6413.404,7950.9555,1.23974
1641481200000,1.23349,1.22471,1.23349,1.23270,4814.5744,5918.0705,1.22919
1641483000000,1.23691,1.22700,1.23444,1.23691,4601.3575,5658.1001,1.22965
1641484800000,1.24335,1.23471,1.23699,1.23471,2536.9282,3138.6474,1.23718
1641486600000,1.23700,1.23000,1.23000,1.23700,4317.0778,5336.0534,1.23603
1641488400000,1.24033,1.23461,1.23461,1.24033,1018.2703,1259.9641,1.23735
1641490200000,1.24200,1.24147,1.24147,1.24200,1767.7221,2195.0581,1.24174
1641492000000,1.24878,1.23958,1.23958,1.24707,1123.8393,1398.5301,1.24442
1641493800000,1.25723,1.24188,1.24486,1.25207,5116.6909,6398.521,1.25051
1641495600000,1.25150,1.24632,1.25150,1.24632,283.1126,354.0075,1.25041
1641497400000,1.24396,1.23777,1.24396,1.24011,401.1787,496.8105,1.23837
1641499200000,1.27416,1.24960,1.24960,1.27070,8972.442,11325.7445,1.26228
1641501000000,1.29626,1.27053,1.27161,1.29499,8451.0117,10844.4742,1.28321
1641502800000,1.29500,1.27598,1.29500,1.27598,19405.1929,24964.3585,1.28647
1641504600000,1.27830,1.27504,1.27730,1.27504,5823.8797,7432.0132,1.27612
1641506400000,1.27654,1.27035,1.27276,1.27521,531.3538,676.6067,1.27336
1641508200000,1.28329,1.27588,1.27588,1.27897,688.1713,881.3092,1.28065
1641510000000,1.28124,1.27424,1.28124,1.27700,6870.7681,8785.5339,1.27868
1641511800000,1.28604,1.27548,1.27699,1.28427,4299.313,5514.4285,1.28263
1641513600000,1.28256,1.26952,1.28256,1.27269,7305.3129,9307.8538,1.27412
1641515400000,1.27594,1.26780,1.27594,1.27405,4983.4563,6325.2759,1.26925
1641517200000,1.27749,1.26518,1.27022,1.26518,165.2126,209.7592,1.26963
1641519000000,1.27135,1.26463,1.27135,1.26463,111.5531,141.1077,1.26493
1641520800000,1.26545,1.25867,1.26435,1.26545,279.3417,352.5231,1.26197
1641522600000,1.26434,1.25867,1.26434,1.25867,102.0688,129.0383,1.26422
1641524400000,1.25670,1.21937,1.25670,1.21937,9688.8374,11994.4422,1.23796
1641526200000,1.22069,1.21000,1.22000,1.21000,1322.8585,1608.5774,1.21598
1641528000000,1.21178,1.20000,1.21178,1.21110,5539.843,6666.1823,1.20331
1641529800000,1.23868,1.20000,1.20500,1.23682,2548.0335,3102.3414,1.21754
