date,high,low,open,close,volume,quoteVolume,weightedAverage
1597332600000,299.000,4.442,4.442,100.000,332.28006,5858.392,17.63
1597334400000,299.000,4.442,4.442,100.000,0,0,17.63
1597336200000,299.000,4.442,4.442,100.000,0,0,17.63
1597338000000,299.000,4.442,4.442,100.000,0,0,17.63
1597339800000,299.000,4.442,4.442,100.000,0,0,17.63
1597341600000,299.000,4.442,4.442,100.000,0,0,17.63
1597343400000,299.000,4.442,4.442,100.000,0,0,17.63
1597345200000,299.000,4.442,4.442,100.000,0,0,17.63
1597347000000,299.000,4.442,4.442,100.000,0,0,17.63
1597348800000,299.000,4.442,4.442,100.000,0,0,17.63
1597350600000,299.000,4.442,4.442,100.000,0,0,17.63
1597352400000,299.000,4.442,4.442,100.000,0,0,17.63
1597354200000,299.000,4.442,4.442,100.000,0,0,17.63
1597356000000,299.000,4.442,4.442,100.000,0,0,17.63
1597357800000,299.000,4.442,4.442,100.000,0,0,17.63
1597359600000,299.000,4.442,4.442,100.000,0,0,17.63
1597361400000,299.000,4.442,4.442,100.000,0,0,17.63
1597363200000,299.000,4.442,4.442,100.000,0,0,17.63
1597365000000,299.000,4.442,4.442,100.000,0,0,17.63
1597366800000,299.000,4.442,4.442,100.000,0,0,17.63
1597368600000,299.000,4.442,4.442,100.000,0,0,17.63
1597370400000,299.000,4.442,4.442,100.000,0,0,17.63
1597372200000,299.000,4.442,4.442,100.000,0,0,17.63
1597374000000,299.000,4.442,4.442,100.000,0,0,17.63
1597375800000,299.000,4.442,4.442,100.000,0,0,17.63
1597377600000,299.000,4.442,4.442,100.000,0,0,17.63
1597379400000,299.000,4.442,4.442,100.000,0,0,17.63
1597381200000,299.000,4.442,4.442,100.000,0,0,17.63
1597383000000,299.000,4.442,4.442,100.000,0,0,17.63
1597384800000,299.000,4.442,4.442,100.000,0,0,17.63
1597386600000,299.000,4.442,4.442,100.000,0,0,17.63
1597388400000,299.000,4.442,4.442,100.000,0,0,17.63
1597390200000,299.000,4.442,4.442,100.000,0,0,17.63
1597392000000,299.000,4.442,4.442,100.000,0,0,17.63
1597393800000,299.000,4.442,4.442,100.000,0,0,17.63
1597395600000,299.000,4.442,4.442,100.000,0,0,17.63
1597397400000,299.000,4.442,4.442,100.000,0,0,17.63
1597399200000,299.000,4.442,4.442,100.000,0,0,17.63
1597401000000,299.000,4.442,4.442,100.000,0,0,17.63
1597402800000,299.000,4.442,4.442,100.000,0,0,17.63
1597404600000,299.000,4.442,4.442,100.000,0,0,17.63
1597406400000,299.000,4.442,4.442,100.000,0,0,17.63
1597408200000,299.000,4.442,4.442,100.000,0,0,17.63
1597410000000,299.000,4.442,4.442,100.000,0,0,17.63
1597411800000,299.000,4.442,4.442,100.000,0,0,17.63
1597413600000,299.000,4.442,4.442,100.000,0,0,17.63
1597415400000,299.000,4.442,4.442,100.000,0,0,17.63
1597417200000,299.000,4.442,4.442,100.000,0,0,17.63
1597419000000,299.000,4.442,4.442,100.000,0,0,17.63
1597420800000,299.000,4.442,4.442,100.000,0,0,17.63
1597422600000,299.000,4.442,4.442,100.000,0,0,17.63
1597424400000,299.000,4.442,4.442,100.000,0,0,17.63
1597426200000,299.000,4.442,4.442,100.000,0,0,17.63
1597428000000,299.000,4.442,4.442,100.000,0,0,17.63
1597429800000,299.000,4.442,4.442,100.000,0,0,17.63
1597431600000,299.000,4.442,4.442,100.000,0,0,17.63
1597433400000,299.000,4.442,4.442,100.000,0,0,17.63
1597435200000,299.000,4.442,4.442,100.000,0,0,17.63
1597437000000,299.000,4.442,4.442,100.000,0,0,17.63
1597438800000,299.000,4.442,4.442,100.000,0,0,17.63
1597440600000,299.000,4.442,4.442,100.000,0,0,17.63
1597442400000,299.000,4.442,4.442,100.000,0,0,17.63
1597444200000,299.000,4.442,4.442,100.000,0,0,17.63
