date,high,low,open,close,volume,quoteVolume,weightedAverage
1586545200000,0.01599,0.01210,0.01310,0.01298,13505.2894,181.4846,0.01343
1586547000000,0.01285,0.01285,0.01285,0.01285,77.7605,1,0.01285
1586548800000,0.01285,0.01282,0.01285,0.01282,1503,19.2884,0.01283
1586550600000,0.01284,0.01249,0.01284,0.01249,604,7.7245,0.01278
1586552400000,0.01260,0.01213,0.01259,0.01225,208732.1992,2569.1407,0.0123
1586554200000,0.01259,0.01225,0.01225,0.01225,372399.0946,4628.3013,0.01242
1586556000000,0.01253,0.01219,0.01253,0.01219,146183.5821,1798.7935,0.0123
1586557800000,0.01222,0.01200,0.01222,0.01202,78915.7038,949.5943,0.01203
1586559600000,0.01207,0.01200,0.01207,0.01200,252494.4223,3032.0208,0.012
1586561400000,0.01210,0.01200,0.01200,0.01210,54932.0488,659.3739,0.012
1586563200000,0.01210,0.01200,0.01200,0.01210,0,0,0.012
1586565000000,0.01220,0.01195,0.01203,0.01201,43326.6102,520.4062,0.01201
1586566800000,0.01214,0.01204,0.01204,0.01210,21565.1475,260.3704,0.01207
1586568600000,0.01220,0.01207,0.01209,0.01212,257866.3675,3117.7751,0.01209
1586570400000,0.01220,0.01212,0.01220,0.01213,18576.5576,225.6443,0.01214
1586572200000,0.01217,0.01212,0.01214,0.01216,416490.2955,5063.3427,0.01215
1586574000000,0.01253,0.01212,0.01216,0.01212,1034155.1447,12562.308,0.01214
1586575800000,0.01212,0.01205,0.01210,0.01212,711532.8999,8619.1718,0.01211
1586577600000,0.01225,0.01212,0.01212,0.01224,267930.1024,3267.8607,0.01219
1586579400000,0.01226,0.01222,0.01224,0.01222,344758.7937,4224.9159,0.01225
1586581200000,0.01227,0.01224,0.01225,0.01227,400743.4763,4911.7518,0.01225
1586583000000,0.01249,0.01228,0.01228,0.01249,276480.0667,3409.8412,0.01233
1586584800000,0.01227,0.01227,0.01227,0.01227,501,6.1521,0.01227
1586586600000,0.01243,0.01225,0.01233,0.01225,6777.4303,83.5835,0.01233
1586588400000,0.01248,0.01225,0.01232,0.01229,352805.3054,4356.1828,0.01234
1586590200000,0.01283,0.01225,0.01228,0.01263,53888.0511,662.5659,0.01229
1586592000000,0.01263,0.01243,0.01263,0.01263,264852.4495,3310.3037,0.01249
1586593800000,0.01284,0.01245,0.01259,0.01251,199023.7999,2501.3527,0.01256
1586595600000,0.01250,0.01226,0.01250,0.01226,316151.0453,3910.2129,0.01236
1586597400000,0.01235,0.01223,0.01230,0.01233,2422434.7149,29800.8402,0.0123
1586599200000,0.01240,0.01233,0.01233,0.01235,9031621.1779,111727.5904,0.01237
1586601000000,0.01237,0.01222,0.01235,0.01228,3030355.506,37336.0398,0.01232
1586602800000,0.01243,0.01225,0.01226,0.01242,2875084.7608,35548.3489,0.01236
1586604600000,0.01246,0.01240,0.01241,0.01245,2207118.2884,27435.2725,0.01243
1586606400000,0.01250,0.01244,0.01246,0.01246,5580981.5064,69647.1633,0.01247
1586608200000,0.01246,0.01240,0.01246,0.01242,7546515.6154,93828.3939,0.01243
1586610000000,0.01248,0.01242,0.01244,0.01243,6931866.1506,86337.2642,0.01245
1586611800000,0.01244,0.01228,0.01243,0.01228,4257764.6173,52693.3527,0.01237
1586613600000,0.01228,0.01222,0.01228,0.01224,112816.2899,1383.1075,0.01225
1586615400000,0.01243,0.01210,0.01223,0.01212,1743177.3672,21177.695,0.01214
1586617200000,0.01237,0.01203,0.01210,0.01224,4913366.9589,59919.4737,0.01219
1586619000000,0.01238,0.01217,0.01224,0.01222,8033862.7523,98289.0883,0.01223
1586620800000,0.01227,0.01220,0.01221,0.01223,2061760.4082,25246.3261,0.01224
1586622600000,0.01225,0.01208,0.01223,0.01211,2727137.3831,33312.4749,0.01221
1586624400000,0.01221,0.01203,0.01204,0.01212,2318814.3951,28189.8955,0.01215
1586626200000,0.01212,0.01201,0.01212,0.01201,3193359.7069,38638.1535,0.01209
1586628000000,0.01204,0.01201,0.01204,0.01202,29528.0503,354.9905,0.01202
1586629800000,0.01207,0.01203,0.01203,0.01207,5661.3322,68.3373,0.01207
1586631600000,0.01214,0.01205,0.01207,0.01205,17670.2424,213.7452,0.01209
1586633400000,0.01205,0.01204,0.01205,0.01204,71819.4901,865.428,0.01205
1586635200000,0.01210,0.01200,0.01201,0.01200,20098.1459,242.9646,0.01208
1586637000000,0.01212,0.01192,0.01194,0.01196,104819.9727,1250.5352,0.01193
1586638800000,0.01204,0.01189,0.01196,0.01189,180793.0779,2156.0298,0.01192
1586640600000,0.01216,0.01187,0.01189,0.01215,759176.6372,9121.4154,0.01201
1586642400000,0.01224,0.01216,0.01216,0.01217,705574.8286,8609.6951,0.0122
1586644200000,0.01226,0.01206,0.01219,0.01217,462271.8561,5637.9489,0.01219
1586646000000,0.01221,0.01215,0.01217,0.01220,206167.8593,2514.4017,0.01219
