date,high,low,open,close,volume,quoteVolume,weightedAverage
1669201200000,10000.0000,2.0000,10000.0000,2.0000,14.723,38.4567,264.5632
1669203000000,3.0000,2.0000,2.0000,3.0000,21.1166,49.3498,2.4326
1669204800000,2.0000,2.0000,2.0000,2.0000,2,4,2
1669206600000,1.9001,1.9000,1.9001,1.9000,12.3176,23.4046,1.9
1669208400000,2.7000,1.7500,2.4000,1.7500,33.4098,73.1725,2.25
1669210200000,1.7500,1.7500,1.7500,1.7500,0,0,2.25
1669212000000,1.7761,1.7761,1.7761,1.7761,26.4252,46.9337,1.7761
1669213800000,1.7761,1.7761,1.7761,1.7761,0,0,1.7761
1669215600000,2.2800,2.2800,2.2800,2.2800,0.4824,1.0998,2.28
1669217400000,2.2800,2.2800,2.2800,2.2800,0,0,2.28
1669219200000,2.2800,2.2800,2.2800,2.2800,0,0,2.28
1669221000000,2.2800,2.2800,2.2800,2.2800,0,0,2.28
1669222800000,2.2800,2.2800,2.2800,2.2800,0,0,2.28
1669224600000,2.2800,2.2800,2.2800,2.2800,0,0,2.28
1669226400000,1.7847,1.7847,1.7847,1.7847,2.8015,4.9998,1.7847
1669228200000,1.7847,1.7847,1.7847,1.7847,0,0,1.7847
1669230000000,1.7850,1.6848,1.7850,1.6848,1.205,2.1505,1.7846
1669231800000,1.6848,1.6848,1.6848,1.6848,0,0,1.7846
1669233600000,1.6848,1.6848,1.6848,1.6848,0,0,1.7846
1669235400000,1.7947,1.7947,1.7947,1.7947,2.0993,3.7676,1.7947
1669237200000,1.7947,1.7947,1.7947,1.7947,0,0,1.7947
1669239000000,1.7947,1.7947,1.7947,1.7947,1.3971,2.5073,1.7947
1669240800000,1.7947,1.7947,1.7947,1.7947,0,0,1.7947
1669242600000,1.7947,1.7947,1.7947,1.7947,0,0,1.7947
1669244400000,1.6849,1.6849,1.6849,1.6849,0.342,0.5762,1.6849
1669246200000,1.6849,1.6849,1.6849,1.6849,0,0,1.6849
1669248000000,2.1779,2.1779,2.1779,2.1779,4.5915,9.9998,2.1779
1669249800000,2.1779,2.1779,2.1779,2.1779,0,0,2.1779
1669251600000,2.1779,2.1779,2.1779,2.1779,0,0,2.1779
1669253400000,2.1779,2.1779,2.1779,2.1779,0,0,2.1779
1669255200000,2.1779,2.1779,2.1779,2.1779,0,0,2.1779
